标题,中文摘要
多重入医疗服务运作管理研究,经过近三十年的医疗改革，中国医疗系统取得了一定成就，但仍然存在着关键医疗资源短缺的问题。本项目针对多重入医疗服务，进行能力分派与患者流控制研究，以保证患者诊疗连续性，减少患者等待时间，进而提高医疗服务水平与患者满意度。针对连续与非连续时间间隔的多重入医疗系统，本项目考虑考虑患者异质目标等待时间与多患者诊疗连贯性进行能力分派研究，考虑目标等待时间进行连续重入患者流控制研究，以及考虑不确定诊疗方案进行非连续重入患者流控制。最后结合上海瑞金医院、上海市仁济医院，无锡、常州等多地医院的实际情况，进行案例研究。本项目将丰富完善医疗运作管理研究，具有重要的理论和应用价值。
基于社会网络分析及NK模型的重大建设项目干系人关系研究,重大建设项目投资规模大、建设工期长， 技术难度高、项目干系人多，各个环节之间的关系错综复杂，对国家和区域性经济、社会以及环境具有较为深远的影响。重大建设项目干系人（Stakeholder）的关系分析及管理具有高度的复杂性和动态性，对项目的成功完成具有至关重要的意义。本研究拟将社会网络分析（SNA）方法和NK模型的结合，实现下述研究目标：（1）提出重大建设项目干系人识别方法与分类标准，为项目管理者提出一套重大建设项目全生命周期的干系人的识别程序与操作标准；（2）构建重大建设项目干系人关系管理策略及其仿真评价模型，为项目管理者科学管理重大建设项目干系人提供一种有效方法。本研究成果将丰富和发展管理者对重大建设项目干系人以及他们之间关系的科学认识，为项目管理者更好地处理干系人之间的关系提供良好的认识基础；拟构建的干系人识别及关系仿真分析方法能为重大建设项目干系人管理提供理论依据和技术支撑。
基于深度学习的大数据制造过程质量智能诊断研究,"针对基于浅层学习模型的质量诊断方法难以满足大数据制造过程实时质量智能诊断的现状，本项目将以深度学习理论为基础，系统地研究大数据制造过程质量智能诊断方法。首先，将反映大数据制造过程的各种异常状态转化为数字图像，用灰度图建立质量图谱以显现隐含的质量信息。其次，将小波变换方法与深度置信网络有机结合，形成具有去噪能力的特征自学习算法，利用该算法对质量图谱进行特征提取。进而，采用深度置信网络对质量图谱自动识别与分类,形成特征提取与分类识别一体的质量异常识别与参数估计模型。其中要解决的关键问题是如何优化深度置信网络的学习层数与隐层单元数，构建训练耗时短且识别精度高的识别模型。最后，将规则推理与案例推理相融合，利用深度置信网络，建立在线质量诊断专家系统，实现大数据制造过程实时质量智能诊断。本项目的研究成果可有效地应用于智慧工厂现场的实时质量监控与诊断，其对于降低质量事故、提升经济效益具有重要应用价值。"
基于内部损失事件的商业银行操作风险动因机理、量化建模及动态控制研究,国内外频发且损失巨大的商业银行操作风险事件引发了监管层、实务界以及学术界的极大关注。内部损失数据不足是制约操作风险研究的最主要因素。本研究基于项目组多年积累并构建的独有的已有三万余条内部损失事件的商业银行操作风险数据库：剖析人员、流程和IT的操作风险形成动因和作用机理，辅以商业银行交易数据、人员信息、客户信息以及流程和IT运营数据实证研究三个动因模型；结合动因模型与现有的操作风险计量模型，构建更为有效的内外部数据整合模型，基于工作量以及IT操作风险构建资本配置模型；基于动因分析和量化建模，运用数据挖掘、机器学习以及案例推理、知识管理、风险检查等工具方法，构建有效的操作风险管控体系。真实、海量且具有针对性的内部损失事件数据能有效应对基于外部损失事件所解决不了的诸如动因实证分析问题。本研究拓展了商业银行操作风险管理研究的前沿领域，为提升商业银行操作风险管理水平提供切实有效的理论支撑和实践指导。
基于前沿创新特点的新创企业渐进式及互联网融资契约设计研究,结合我国“新常态”经济转型结构调整和产业升级，通过前沿创新驱动长期可持续增长的要求，针对创新主体——新创科技型企业在前沿创新过程不同阶段的研发特点和融资需求，以债股衔接的渐进式直接融资契约设计与互联网融资信用契约为研究对象，运用新经济增长、动态不完全契约、机制设计、社会资本和公司金融等理论，分析企业为主体，高校和科研机构参与的产学研合作前沿创新成果转化和注重专利质量及其市场价值的专利交易特点，以及新创企业研发规律和成长的阶段性特点，设计主要由资产证券化、可转债以及股权组成的衔接、转换和升级的渐进式融资契约或市场机制；研究社会网络及其所蕴含的社会资本对新创企业互惠激励相容的P2P网络借贷契约的影响，设计能提高社会资本效用，进而提升网络借贷效率的契约与机制，以利于可持续创新驱动经济长期增长发展模式的实现。
面向可持续绩效的制造企业间副产品和废料资源化利用关系协调与网络优化研究,随着不可再生资源的过度消耗、工业垃圾和温室气体的过量排放，人类的生存环境日益恶化。在这种情况下，合理利用制造企业产生的副产品和废料已成为政府和企业关注的一个焦点。本项目以可持续绩效最优化为目标，研究制造企业间副产品和废料资源化利用关系协调和网络优化问题。在关系协调问题研究中，我们应用博弈分析方法，分析企业间副产品和废料的交易价格、排污权交易价格等；在网络优化问题研究中，我们主要应用多目标粒子群算法、非支配排序遗传算法，求解副产品和废料在各企业间的分配方案、各企业采购原材料的最优数量等。在研究中，系统考虑了以下决策条件：副产品和废料供应的确定和随机，关系的自组织和被组织、独立和相干；副产品和废料的单属性和多属性、数量属性和可用时段属性；网络层次的单阶段和多阶段等。最后，基于理论研究成果，结合企业生产实践，开发企业决策支持工具。项目研究成果将为企业开展副产品和废料资源化利用提供理论与方法支持。
高维度下联立方程组和工具变量模型的估计、统计推断和模型选择,现代经济、金融活动中每时每刻都产生出大量的数据。而信息存储、数据收集以及信息处理技术的创新和发展给计量经济学理论带来了新的研究问题和挑战。在大数据时代背景下高维度计量经济学正逐渐成为理论和应用问题上的研究热点。高维度计量经济学的研究内容主要为多差异性个体的联立结构模型和网络结构的研究；多变量、多因子模型的估计、选择以及推断等。本课题对这一类问题进行系统性的理论研究并通过现实大数据进行实证问题研究。本课题主要研究下列高维度问题下的微观计量问题：1，多个差异性个体的联立方程估计；2，高维度工具变量理论，及其广义矩估计下的拓展问题；3，在经济增长、横截面回报率、资产投资组合、公司金融、环境经济学等方面的实证经济研究。
权证和期权的信息功能研究,价格发现作为衍生品的基本功能，通常被认为因衍生品的低交易成本吸引人们更多的参与衍生品交易而产生的。但中国权证市场的高投机性和高泡沫和50ETF期权市场的高交易成本，与此前提并不一致，这是否表明在这样的环境下衍生品无法提供有用的信息？本研究将以中国权证及ETF期权市场为对象，从理论和实证两个角度研究期权类衍生品市场的信息发现功能。主要内容包括：一是构建理论模型说明权证和期权市场能反映何种信息，是价格走势信息还是波动信息，是噪音信息还是基本面信息。二是通过实际数据检验权证和期权市场对各类信息的反映速度。三是制度性因素如何影响权证和标的股票的信息效率。针对中国权证和期权市场的信息功能研究，有助于进一步理解定价合理性与信息有效性之间的关系，丰富衍生品与市场效率研究方面的研究文献，也有助于深入理解期权市场信息发现功能的内在机理，寻找到更有效的提高市场效率的方法，为衍生品市场的发展提供有益的参考。
PPP项目收益的形成机理、动态评估与调节机制研究,PPP项目漫长而复杂，其收益内涵不清、评估困难、调节备受争议，本课题主要运用计算实验方法研究如何动态评估与调节PPP项目收益。课题从PPP项目收益的内涵和影响因素入手，构建PPP项目收益分析系统，并基于利益相关者特性和决策认知行为的研究，构建PPP项目价值网，将多智能体技术、系统动力学分析与价值网分析结合，建立PPP项目收益形成与调节计算实验平台，基于计算实验平台：1、模拟价值流在价值网中的变化，探索收益形成机理，基于多主体的投标博弈法研究收益动态评估方法；2、界定合理收益范围，构建项目收益调节的“政治、经济、社会”三维动力驱动机制，并分析其运行规则及演变趋势；3、分析收益形成与调节过程中的动态博弈过程，开展基于多智能体的博弈仿真分析，以收益评估值为控制指标，对不同调节策略与机制进行实验，动态调整收益函数后实现收益调节。课题对提升PPP项目的绩效、可持续性、利益相关者满意度有重要作用。
路面通行时间不确定下通勤个体出行安排决策行为建模与分析,交通系统具有不确定性和动态性两大特征，如何对不确定交通环境下的通勤个体动态决策行为进行诱导和管理一直以来都是困扰政府管理部门的难题。在此背景下，本项目以通勤个体的出行安排决策行为为切入点，首先在一个具有瓶颈的高速路和地铁线路并行提供服务的两模式交通系统中，构建路面通行时间不确定下的出行安排动态决策模型，阐述路面通行时间不确定性与动态时空均衡流量结果之间的内在联系；然后利用实证调查数据对均衡模型中的参数进行标定，考查不确定性偏好和其它异质性对均衡流量分配结果的影响；再次，研究最新提出的可交易电子路票在路面通行时间不确定下管理瓶颈拥挤和方式划分的有效性和公平性。最后，在新的模型框架中研究各种交通运营策略对出行行为和社会福利的影响。本项目的研究旨在通过系统全面的定量分析，就如何提高不确定路面环境下交通系统的出行效率和社会福利提出优化管理的建议。
基于复杂偏好大数据分析的风险性动态大群体应急决策模型研究,以特大突发事件为背景，其特殊性使得应对决策成为高时间压力下动态交互过程，涉及的决策群体具有大规模性、异质性、高复杂性和动态性，决定了这种应急决策是一种复杂大数据环境下的高风险性决策，本项目针对上述问题从复杂偏好大数据结构分析入手，系统地研究风险性动态大群体应急决策模型体系。具体研究内容:(1)利用天津港“8•12”特大爆炸火灾等案例深入分析应急决策复杂偏好大数据特征和分布结构，建立风险性大群体应急决策分析框架；(2)构建基于复杂偏好大数据分析的大群体应急决策风险测度模型；(3)设计应对过程风险状态转移模型和动态风险评价方法，构建大群体应急决策动态风险消解模型；(4)围绕应急决策主题求解，将风险测度模型和风险消解模型有机结合构建大群体应急决策风险消解协调机制；(5)研发基于大数据分析的风险性大群体应急决策实验平台，以天津港特大火灾等案例大数据进行模拟应用，为特大突发事件应急管理提供科学依据。
基于MAS的分布式突发事件应急风险决策方法研究,突发事件应急决策的风险特性是影响决策效果的关键因素。针对动态不确定环境下的多决策者参与、多决策关联和决策之间冲突的复杂决策环境，围绕基于MAS（Multi-Agent System）的分布式突发事件应急风险决策方法展开研究，主要包括：①支持分布式风险决策网络建模与推理，决策目标管理、承诺与生成，备选方案最优化、投票与优选的多Agent应急决策风险分析与协作决策方法；②支持分布式风险决策网络、决策目标与决策方案冲突识别，并行与链式冲突消解的多Agent应急风险决策冲突检测与协调方法；③支持风险评估、目标形成、方案优选与冲突协调信息复杂性，决策主体、决策内容与决策过程协同可靠性，信息交互与协同关系动态优化的多Agent应急风险决策绩效评价与动态优化方法。力图实现应急风险决策与MAS分布式决策理论与方法的有力拓展，同时为分布协作式的突发事件应急决策实践提供科学依据和理论指导。
B2C电子商务人机谈判策略与系统研究,人机谈判是自动谈判研究的重要分支，是实现B2C电子商务自动交易的重要手段。研究的核心问题是机器方（Agent）的谈判策略。目前策略研究缺乏对随机、多变谈判情境的处理能力，因此，无法应对人的谈判行为，不能满足人机谈判的需要。本课题从人的谈判行为研究入手，将经典策略模型的时间依赖和行为依赖特性相结合，设计组合策略模型及策略选择算法，使Agent不局限于某一种策略，而是可以根据对手的谈判行为，动态地选择合适的策略予以应对，极大地提高谈判系统的鲁棒性和灵活性。在此基础上，设计Pareto最优前沿上的组合策略让步机制，将策略选择推广到多属性谈判中去，并将价格谈判同基于论据的谈判相结合，使人机谈判的电子商务实际应用成为可能。最后，依托原型系统进行人机谈判实验，从经济学和社会心理学视角综合评估系统的应用效果，其实证研究结果可为未来基于谈判的电子商务自动交易提供理论依据，具有重要的理论价值和现实意义！
基于公众认知视角的邻避项目环境风险评估与治理研究,近年频发的群体性邻避行为表面上看是公众与企业或政府的冲突，实际则是公众认知视角下的邻避项目环境风险管理缺失。本项目运用系统科学、社会调查、计算实验、认知科学和风险评估等理论与方法，基于公众认知视角研究邻避项目环境风险评估与治理问题。首先系统分析邻避项目环境风险；接着研究公众对邻避项目环境风险的认知；然后挖掘公众认知视角下邻避项目环境风险在时间、空间和性质等维度的演变规律；进而构建邻避项目环境风险系统评估模型，动态描绘风险地图，建立预警机制；最后基于情景模拟邻避项目环境风险治理策略效果，从行为与复杂性视角构建邻避项目环境风险治理体系。项目研究有助于科学认识公众对邻避项目环境风险的认知情况，掌握公众视角下邻避项目环境风险的演变规律，优化邻避项目环境风险评估模型，提高邻避项目环境风险治理策略的适应性。同时，本项目拓展了环境风险研究的范畴，对于环境风险管理理论创新也有一定的贡献。
不良驾驶状态的先兆诊断及干预技术,采用不良驾驶状态指标，作为交通事故代替性指标，研究不良驾驶状态在自然驾驶过程中的产生规律和演化过程的机理，并对其进行主动干预。首先，定义各类不良驾驶状态并确定其阈值，并从大规模自然驾驶实验数据中提取相应指标集及其行为过程数据，构建不良驾驶状态综合评价指标。其次，结合不良驾驶行为过程对应的实时路侧交通流检测数据，追溯不良驾驶状态发生前的驾驶行为过程和交通流状态，构建不良驾驶状态先兆模型，形成不良驾驶状态行为谱。再次，定量标定各类及综合不良驾驶状态先兆的事故风险。最后，提出基于车载终端的驾驶人预警干预策略与方法，切断不良驾驶行为状态演化发展链，规避不良驾驶状态发生。本研究诊断不良驾驶状态的在自然驾驶行为过程中的先兆，提出有效的预警干预策略，不但可以为驾驶人行为干预和管理提供理论依据，还可以为高速公路安全运营控制管理决策策略提供支持，并可以作为自动驾驶车辆或车联网的运行控制策略。
HHT关键问题研究及其在股市联动性分析中的应用,古典时频分析理论对时变非平稳序列提供了有效的分析和处理手段，但由于古典的时频分析方法诸如Fourier变换、小波分析等存在一定的局限性。因此1998年提出了一种新的理论和计算方法被称为Hilbert-Huang变换(HHT)，但该变换的理论与算法还有许多尚未解决的基本问题，比如：经验模式分解(EMD)的解析表示及收敛性和逼近阶问题、分解有效性和精度估计问题、本征模态函数(IMF)的数学模型问题等。在本项目中，我们将构造瞬时频率非负且满足Bedrosian定理的解析正交基的IMF数学模型；建立EMD的解析表示及进行收敛性和有效性分析；研究HHT作为一种时频分布所应满足的基本条件等若干关键问题。同时研究HHT在股市联动中的相关应用，比如对我国A股市场与美股、港股波动关联性进行分析、对我国股市行业间溢出效应进行研究等。
基于新交互作用指标的关联多准则决策方法,基于非可加测度与非线性积分的多准则决策方法允许决策准则间存在各种关联关系，能够柔性集成关联多准则决策信息。然而，现用的概率型交互作用指标不能准确有效地刻画准则间关联关系，影响到了该决策理论与方法体系的合理性与有效性。.本项目旨在提出合理适用的新交互作用指标，进而重构基于非可加测度与非线性积分的关联多准则决策理论与方法体系。首先，从公理化特性体系和结构拓展规律入手，重构准则间边际交互作用量的概念，提出适用于关联多准则决策的新交互作用指标。其次，重构基于新指标的关联偏好信息表示与获取方法、关联偏好信息一致性检验方法、非可加测度确定方法、非线性积分关联集成性质等相关决策理论与方法。最后，研发基于新交互作用指标的关联多准则决策辅助软件。.课题研究成果将丰富非可加测度和关联多准则决策的理论体系，为解决关联多准则决策及综合评价问题提供有效的方法和工具。
面向大型复杂产品研制过程的决策问题模型研究,大型复杂产品的制造是国家战略性支柱产业，其能力和水平体现了一个国家制造业的核心竞争力。本项目针对大型复杂产品研制过程中的特点、难点和目标需求，在大型复杂产品研制过程递进和同步化动态联盟网络理念下，基于决策者个体偏好与总体决策目标效用权衡的思想，以大型复杂产品研制的全过程为研究对象，研究大型复杂产品研制过程的决策问题模型构建技术和方法。主要研究内容包括：大型复杂产品研制工程系统结构与集成决策；大型复杂产品研制决策参与者行为规律与偏好模型；大型复杂产品研制决策过程与信息集结模型等；在此研究基础上，结合协作企业的特定研制项目进行案例研究和实证分析，提炼大型复杂产品研制过程的决策范式转变机理与规律。本项目研究将拓展大型复杂产品研制过程统一决策的相关理论、方法和技术，对提升我国大型复杂产品研制管理决策水平和竞争力具有重要的应用价值。
我国产品生命周期评价中的致癌与非致癌特征化模型研究,"当前，我国缺乏生命周期评价（LCA）的致癌与非致癌特征化模型，因而难以科学地量化与管理我国产品的人类毒性足迹。本研究拟采用多介质逸度模型、化学物质的毒性数据、剂量-反应模型、基于泰勒系列展开的不确定性分析模型，结合各地域的地理、环境、人口、暴露条件，构建我国LCA致癌与非致癌特征化评价模型及其特征化因子的时（2005-2014年度）、空（各省、直辖市）当量系数。模型的验证研究，拟通过模型估算与实测数据对比法、LCA特征化因子对比法、流行病学数据替代法、基于细胞生物学实验的复合毒性分析法,对构建的本土化LCA致癌与非致癌特征化模型进行验证与修正。案例研究拟选取申请人前期研究中构建出的我国重点工业行业典型产品的生命周期清单，进行实证分析；对课题研究提出的方法学进行科学性、可靠性验证与修正，进而为科学地量化与管理我国产品人类毒性足迹提供理论支持。"
线上线下同价背景下双渠道零售商的定价策略与协调机制研究,线上线下同价并不简单的等同于线上线下制定一样的价格，还包括店内比价及全网比价。虽然越来越多的双渠道零售商开始采用线上线下同价策略以缓解渠道冲突，但由于缺乏理论指导，引起广泛争议。针对这样的背景，本项目将以供应链管理、非合作博弈等理论为基础，构建一系列描述不同环境下的供应链决策模型，并设计相应的求解方法，从理论上揭示不同形式的线上线下同价策略的作用机理、相互关系及产生的社会影响，识别出线上线下同价策略的适用环境，并以此为基础，进一步探讨如何转变与供应商的交易模式并设计相应的激励机制以协调供应链，为更好实施线上线下同价策略创造条件。希望本项目的实施能够一定程度上丰富和拓展现有关于零售商的定价策略与渠道管理理论，为我国零售业适应当前网络经济蓬勃发展的新形势，有效提升双渠道供应链的运作水平和管理效益提供有价值的理论指导。
面向大型复杂产品研制过程的决策问题模型研究,大型复杂产品的制造是国家战略性支柱产业，其能力和水平体现了一个国家制造业的核心竞争力。本项目针对大型复杂产品研制过程中的特点、难点和目标需求，在大型复杂产品研制过程递进和同步化动态联盟网络理念下，基于决策者个体偏好与总体决策目标效用权衡的思想，以大型复杂产品研制的全过程为研究对象，研究大型复杂产品研制过程的决策问题模型构建技术和方法。主要研究内容包括：大型复杂产品研制工程系统结构与集成决策；大型复杂产品研制决策参与者行为规律与偏好模型；大型复杂产品研制决策过程与信息集结模型等；在此研究基础上，结合协作企业的特定研制项目进行案例研究和实证分析，提炼大型复杂产品研制过程的决策范式转变机理与规律。本项目研究将拓展大型复杂产品研制过程统一决策的相关理论、方法和技术，对提升我国大型复杂产品研制管理决策水平和竞争力具有重要的应用价值。
我国产品生命周期评价中的致癌与非致癌特征化模型研究,"当前，我国缺乏生命周期评价（LCA）的致癌与非致癌特征化模型，因而难以科学地量化与管理我国产品的人类毒性足迹。本研究拟采用多介质逸度模型、化学物质的毒性数据、剂量-反应模型、基于泰勒系列展开的不确定性分析模型，结合各地域的地理、环境、人口、暴露条件，构建我国LCA致癌与非致癌特征化评价模型及其特征化因子的时（2005-2014年度）、空（各省、直辖市）当量系数。模型的验证研究，拟通过模型估算与实测数据对比法、LCA特征化因子对比法、流行病学数据替代法、基于细胞生物学实验的复合毒性分析法,对构建的本土化LCA致癌与非致癌特征化模型进行验证与修正。案例研究拟选取申请人前期研究中构建出的我国重点工业行业典型产品的生命周期清单，进行实证分析；对课题研究提出的方法学进行科学性、可靠性验证与修正，进而为科学地量化与管理我国产品人类毒性足迹提供理论支持。"
线上线下同价背景下双渠道零售商的定价策略与协调机制研究,线上线下同价并不简单的等同于线上线下制定一样的价格，还包括店内比价及全网比价。虽然越来越多的双渠道零售商开始采用线上线下同价策略以缓解渠道冲突，但由于缺乏理论指导，引起广泛争议。针对这样的背景，本项目将以供应链管理、非合作博弈等理论为基础，构建一系列描述不同环境下的供应链决策模型，并设计相应的求解方法，从理论上揭示不同形式的线上线下同价策略的作用机理、相互关系及产生的社会影响，识别出线上线下同价策略的适用环境，并以此为基础，进一步探讨如何转变与供应商的交易模式并设计相应的激励机制以协调供应链，为更好实施线上线下同价策略创造条件。希望本项目的实施能够一定程度上丰富和拓展现有关于零售商的定价策略与渠道管理理论，为我国零售业适应当前网络经济蓬勃发展的新形势，有效提升双渠道供应链的运作水平和管理效益提供有价值的理论指导。
基于多模式客运系统的同城快递营运网络优化构建方法,利用城市客运系统开展同城快递业务，可使用更少的车辆，满足客货运的需求，达到有效利用城市交通资源，节能减排，缓解交通拥挤的目的。在“客货共运”体系中，如何优化同城快递营运网络，保障快递系统的高效性，提升快递系统的经济和社会效益，是一个迫切需要解决的问题。项目提出以地铁和出租车构成的多模式载运网络为基础，通过两种运输模式的相互协作，提供高效的同城快递服务。在对载运网络时空运营特征解析的基础上，根据客运系统以及同城快递的特性，考虑载运网络的随机性、动态性和多模式协同，以及快递需求的随机性、动态性和多时效性，分别建立保障基本服务水平和最大化经济和社会效益的同城快递营运网络优化模型及算法，并研发营运网络性能和特征分析方法，开展实例研究和模型测试工作。研究为建设“共享经济”环境下的同城快递系统提供新的思路，并推动随机、动态环境下多模式网络优化模型和算法的发展。
多级柔性进度网络背景的复杂装备生产计划灰元递阶排程模型及应用,复杂装备生产具有典型的多品种小批量生产特征，其生产计划涉及复杂装备承制单位多层次主体，且约束因素多、工序工时定额难以测度，传统计划排程模型难以表征复杂装备生产计划的柔性特征。本课题通过解构复杂装备生产计划复杂层次结构，设计用于柔性进度网络背景下的甘特图。通过识别和筛选复杂装备生产计划排程的影响因素，在分析资源约束条件并配置参数基础上，构建面向多型号任务的复杂装备制造能力单元资源分配决策模型。结合复杂装备生产多重灰约束条件，构建复杂装备制造能力单元各工序当量灰时间定额测度模型，研究多重灰约束条件下的排程规则，从而构建多级柔性进度网络背景的复杂装备生产计划灰元递阶排程模型。考虑应急任务情景，研究复杂装备生产计划重排问题。将所构建模型与CF公司多型号复材部件生产计划制定问题结合，设计复杂装备生产计划排程算法并开发原型系统，为多级进度网络和多重灰约束条件下的复杂装备生产计划排程问题提供解决方案。
基于长记忆和结构突变波动率建模的计量理论与应用研究,本课题在非线性、非平稳时间序列视角下，研究金融资产波动率模型。从计量理论到实证分析，本课题具体解决以下几点问题：（1）长记忆与带有结构突变的时间序列模型拥有不同的概率结构性质，基于这些理论性质差异，我们提出一类判别检验来区分平稳长记忆波动率和带结构变点的非平稳短记忆波动率，推导检验量的大样本性质，从计量理论上掌握波动率的实际产生机制和真实动态结构；（2）我们提出一类自适应的非平稳长记忆波动率模型，在此类模型下讨论模型估计、模型设定检验及拟合优度检验等统计推断问题，且用蒙特卡洛模拟考察小样本表现绩效；（3）对带有结构突变的长记忆波动率模型进行实时预测，解决最优预测带宽选择和最优加权系数赋值等问题；（4）将本课题所建立的一类新的非平稳长记忆波动率模型用于对我国股票市场、汇率市场、期货市场等金融资产波动率的实证分析，计算风险在值、期望损失等风险指标，为防范金融风险提供更可靠的量化工具。
高维非线性模型中的因子分析：理论和应用,随着科学技术的日新月异和改革开放后中国经济的快速发展，经济管理中的高维数据，例如大量的宏观经济数据、微观企业数据和行业数据逐渐被应用在国家宏观经济调控、企业投融资决策和金融服务。考虑到现实的宏观经济运作和企业经营管理经常受国家政策和外部环境（例如新技术革新、全球金融危机等）的影响，结构性突变时有发生，这使得目前常用的线性假设在实际的数据分析中变得十分脆弱。采用因子分析的方法，本项目将着重考虑高维时间序列的非线性模型，对非线性高维数据分析做出如下贡献：第一，建立带有结构突变的非线性因子模型及其计量分析方法和理论。第二，建立线性-非线性因子模型及其计量分析方法和理论。第三，解决带有非线性特性的高维数据分析在实证研究中的关键问题。本项目的理论研究具有前瞻性，是计量经济学研究的前沿课题；应用研究具有广泛的实用性，对宏观经济学、金融学、消费者行为学、管理学等学科的实证研究具有重要的指导意义。
面向云医疗系统的资源协同优化配置与调度方法研究,资源协同优化配置与调度是云医疗系统高效化运行管理的关键科学问题。由于医疗服务自身的特殊性以及这种新型互联网医疗服务模式的多组织协同特点，使得这一关键科学问题具体表现为需求不确定情形下医生服务时间的多目标协同优化配置与医疗过程动态条件下患者医疗序列的动态多目标协同优化调度两个复杂的优化问题。基于此，本课题从云医疗系统的实际需求出发，采用学科交叉和学科融合手段，将系统工程思想与运筹学、运作管理、智能计算以及应用数学等领域相结合，围绕上述两个具体的科学问题，在医疗运作管理现有理论成果的基础上，进一步结合云医疗系统医疗全过程协同优化的特点，深入研究面向云医疗系统的资源协同优化配置与调度方法。本课题研究不仅能够解决云医疗系统协同优化管理决策的主要科学问题和难点，而且对解决其他互联网医疗服务系统中的管理决策问题也具有普遍的科学意义。
协同研制背景下复杂装备可靠性增长GERT网络模型研究,复杂装备的多系统协同研制过程一般采用主制造商－供应商组织管理模式，大量的调研和文献研究发现，现有的可靠性增长模型无法较好地解决该模式下装备可靠性增长评价与预测等相关问题。本项目首先从现代复杂装备研制特征出发，搭建多系统协同研制背景下复杂装备可靠性增长GERT网络框架，解析其可靠性增长机制；其次，建立基于GERT网络的装备可靠性增长试验数据“折合传递”模型，可靠性增长评价Bayes推理模型，装备失效率、改进有效性系数和增长潜力的Bayes网络估算模型，共模故障条件下的可靠性增长评价修正模型；再者，考虑协同研制背景下各供应商对于装备可靠性增长的责任、地位与贡献的区别与资源配置问题，建立基于GERT网络的装备可靠性增长供应商识别与评价模型，资源最优配置模型；最后，以中国C919飞机研制为背景，对该项目的理论模型进行检验与应用；为协同研制背景下复杂装备可靠性增长模型建立与技术开发提供解决方案。
中国股市涨跌幅限制的研究——基于计算实验金融的方法,我国股票市场实施10%的涨跌幅限制已近20年，国际证监会组织曾建议我国放松涨跌幅限制的幅度。随着我国金融市场与世界市场联系日益紧密，尤其是沪港通试点的正式启动，或将推动我国股市涨跌幅限制制度的改革。本项目依托中国股票市场指令流数据，开展涨跌幅限制市场绩效的实证研究工作，分析市场参与者下单委托和撤单委托的统计规律，在此基础上构建具有涨跌幅限制特征的委托驱动模型，并采用实证分析结果进行模型校准；以构建的模型为平台，运用计算实验金融的方法，探索股票价格的动态演化规律和涨跌幅限制的内在作用机理，从股市微观结构角度分析涨跌幅限制对股市稳定性的影响；最后，在计算实验平台中运用优化算法，确定一定市场条件设定下的最优涨幅跌幅组合。本项目的顺利实施，将丰富与深化人类对于股票市场复杂演化规律的科学认识，推动计算实验金融学科的发展，并为我国股市涨跌幅限制的完善提供理论指导和政策建议。
